交易日期,股票代码,股票名称,所属行业,开盘价,最高价,最低价,收盘价,成交量(万手),成交额(亿),涨跌幅(%),换手率(%),市盈率
2026-07-18,600519,贵州茅台,白酒,610.83,629.83,595.12,606.1,474.0,2872.91,-0.77,1.59,79.23
2026-01-13,600030,中信证券,证券,1532.55,1579.71,1451.96,1573.19,193.93,3050.89,2.65,1.56,24.58
2025-12-13,601318,中国平安,保险,1560.19,1617.33,1506.83,1533.21,107.59,1649.58,-1.73,7.9,32.26
2025-06-26,000002,万科A,房地产,902.17,964.79,861.57,864.17,460.77,3981.84,-4.21,3.65,45.98
2025-06-10,000651,格力电器,家电,1340.38,1383.71,1306.03,1318.27,414.62,5465.81,-1.65,5.58,27.57
2026-04-19,601398,工商银行,银行,377.86,386.65,365.74,381.96,185.22,707.47,1.08,2.74,74.79
2026-07-03,601899,紫金矿业,有色金属,143.84,148.5,138.14,146.78,35.88,52.66,2.04,0.62,12.08
2025-09-10,000858,五粮液,白酒,1662.15,1749.26,1567.32,1607.44,112.45,1807.57,-3.29,6.7,30.79
2026-06-26,002594,比亚迪,新能源车,293.59,315.91,273.63,307.44,149.85,460.7,4.72,12.65,50.16
2025-08-03,000858,五粮液,白酒,260.18,265.61,252.93,255.96,76.41,195.58,-1.62,8.86,75.88
2026-07-23,000858,五粮液,白酒,1566.16,1603.16,1512.52,1545.96,85.52,1322.1,-1.29,8.48,42.13
2026-01-15,601166,兴业银行,银行,156.26,162.39,148.23,152.42,251.7,383.64,-2.46,6.75,53.76
2026-06-23,601166,兴业银行,银行,1158.07,1207.54,1102.22,1123.77,261.06,2933.71,-2.96,13.75,78.07
2026-06-02,002594,比亚迪,新能源车,1255.11,1322.12,1161.63,1197.27,216.67,2594.12,-4.61,7.51,35.7
2025-08-29,600519,贵州茅台,白酒,809.3,835.52,789.19,801.55,427.69,3428.15,-0.96,0.66,52.83
2026-01-16,002594,比亚迪,新能源车,46.07,48.34,43.9,44.34,5.94,2.63,-3.75,3.09,74.24
2025-08-05,601899,紫金矿业,有色金属,1606.13,1672.22,1570.74,1584.51,12.35,195.69,-1.35,10.58,75.67
2025-06-26,000333,美的集团,家电,838.85,860.97,803.43,859.09,47.58,408.76,2.41,2.93,69.68
2025-07-22,600030,中信证券,证券,599.41,606.44,588.41,597.25,406.94,2430.45,-0.36,7.43,24.13
2026-07-19,300750,宁德时代,电池,815.6,856.37,781.82,794.75,402.31,3197.36,-2.56,1.31,43.97
2026-06-19,600519,贵州茅台,白酒,251.64,254.82,248.06,253.96,282.92,718.5,0.92,1.61,37.0
2025-11-27,601899,紫金矿业,有色金属,594.59,616.06,568.14,607.47,302.42,1837.11,2.17,8.46,40.97
2025-07-27,000001,平安银行,银行,1150.94,1222.76,1074.32,1195.95,74.7,893.37,3.91,13.97,39.35
2025-06-24,601398,工商银行,银行,689.64,706.09,660.17,698.99,460.86,3221.37,1.36,11.5,60.62
2026-05-04,601166,兴业银行,银行,91.38,96.74,85.41,94.63,435.96,412.55,3.56,5.41,35.77
2025-04-18,600690,海尔智家,家电,1495.77,1539.81,1451.82,1503.41,394.08,5924.64,0.51,13.92,59.72
2025-10-28,600036,招商银行,银行,1452.17,1513.75,1388.95,1414.8,5.09,72.01,-2.57,3.28,19.08
2026-06-26,000651,格力电器,家电,1746.94,1831.34,1662.68,1800.99,332.2,5982.89,3.09,12.32,55.79
2025-11-08,601166,兴业银行,银行,1246.64,1317.89,1172.29,1285.12,281.77,3621.08,3.09,8.9,71.23
2025-08-25,300750,宁德时代,电池,1343.93,1397.69,1292.1,1294.18,309.19,4001.48,-3.7,3.12,74.61
2026-02-20,600690,海尔智家,家电,1652.05,1717.78,1620.15,1627.99,492.07,8010.85,-1.46,1.01,8.72
2025-04-25,600030,中信证券,证券,1192.79,1228.87,1177.62,1205.74,410.05,4944.14,1.09,12.32,44.97
2025-12-02,300750,宁德时代,电池,1152.86,1197.73,1103.11,1183.28,480.18,5681.87,2.64,11.1,46.5
2026-01-22,600519,贵州茅台,白酒,426.76,451.55,410.27,441.3,233.29,1029.51,3.41,9.88,45.37
2025-07-18,000001,平安银行,银行,1350.93,1377.1,1315.99,1338.03,445.42,5959.85,-0.95,6.56,10.67
2026-02-16,601398,工商银行,银行,1326.0,1348.44,1293.5,1323.09,395.99,5239.3,-0.22,14.76,20.09
2025-09-06,300750,宁德时代,电池,1540.4,1586.87,1483.18,1527.86,101.79,1555.21,-0.81,12.53,8.85
2025-12-14,601899,紫金矿业,有色金属,1504.97,1568.51,1440.99,1447.24,472.11,6832.56,-3.84,13.62,55.24
2025-11-09,000858,五粮液,白酒,791.19,826.4,742.81,761.28,67.37,512.87,-3.78,7.3,37.5
2026-05-27,002594,比亚迪,新能源车,139.45,145.46,133.07,135.39,29.78,40.32,-2.91,7.01,32.01
2025-04-02,601166,兴业银行,银行,1685.74,1718.65,1640.37,1674.42,363.97,6094.39,-0.67,13.06,38.52
2026-04-08,300750,宁德时代,电池,1600.98,1627.53,1565.03,1597.15,267.32,4269.5,-0.24,8.01,52.95
2026-04-04,300750,宁德时代,电池,1004.04,1019.89,976.47,997.33,43.94,438.23,-0.67,7.47,12.74
2025-12-18,601899,紫金矿业,有色金属,1572.24,1639.9,1503.43,1624.41,368.31,5982.86,3.32,11.85,66.26
2025-06-01,600519,贵州茅台,白酒,1508.78,1559.7,1426.02,1548.92,94.01,1456.14,2.66,9.68,71.18
2025-08-21,601318,中国平安,保险,1671.61,1721.15,1650.55,1653.78,216.16,3574.81,-1.07,13.28,75.11
2025-08-02,600030,中信证券,证券,1670.32,1739.22,1609.13,1697.7,447.16,7591.44,1.64,13.67,29.97
2025-11-03,601398,工商银行,银行,937.49,994.24,900.3,908.42,353.47,3210.99,-3.1,6.58,75.04
2026-04-30,000651,格力电器,家电,207.74,216.55,196.43,202.54,143.6,290.85,-2.5,8.51,55.21
2025-11-29,000002,万科A,房地产,463.02,468.36,450.4,462.3,310.01,1433.18,-0.16,6.62,78.09
2025-04-29,600519,贵州茅台,白酒,820.82,845.89,799.13,820.2,492.45,4039.07,-0.08,0.9,6.41
2025-09-24,000001,平安银行,银行,896.07,943.86,836.43,929.12,473.81,4402.26,3.69,3.62,67.33
2025-12-24,601398,工商银行,银行,1448.82,1464.81,1409.81,1441.62,280.68,4046.34,-0.5,6.21,52.67
2026-06-08,600036,招商银行,银行,818.97,867.34,775.01,791.99,229.05,1814.05,-3.29,0.67,16.14
2025-10-25,601899,紫金矿业,有色金属,1577.91,1605.15,1551.85,1577.36,72.26,1139.8,-0.03,13.22,48.92
2026-05-13,002594,比亚迪,新能源车,110.46,113.91,106.67,109.52,275.52,301.75,-0.85,5.46,30.54
2026-05-24,601398,工商银行,银行,1728.94,1820.84,1631.28,1778.0,348.72,6200.24,2.84,13.29,61.84
2025-05-10,002594,比亚迪,新能源车,108.78,116.75,100.43,103.55,195.14,202.07,-4.81,7.06,67.93
2026-06-20,000002,万科A,房地产,23.16,24.25,21.98,22.54,73.22,16.5,-2.69,7.43,77.56
2025-11-07,601318,中国平安,保险,823.19,874.55,774.2,784.03,489.21,3835.55,-4.76,8.72,38.54
2025-10-20,600036,招商银行,银行,877.28,914.77,829.43,847.95,305.19,2587.86,-3.34,8.6,73.83
2025-03-24,600036,招商银行,银行,226.82,236.82,215.25,235.03,79.56,186.99,3.62,11.44,21.85
2026-03-28,000333,美的集团,家电,244.44,250.61,232.1,238.68,40.73,97.21,-2.36,7.98,57.98
2026-03-29,000002,万科A,房地产,1192.67,1224.32,1156.04,1161.3,6.99,81.17,-2.63,11.28,41.54
2025-03-31,600036,招商银行,银行,123.68,127.21,122.29,123.87,439.78,544.76,0.16,9.95,55.35
2026-05-07,300750,宁德时代,电池,704.94,716.69,690.01,712.27,289.95,2065.23,1.04,7.65,38.46
2025-05-16,002594,比亚迪,新能源车,979.88,1030.4,930.43,958.56,291.63,2795.45,-2.18,4.2,48.71
2026-05-15,600030,中信证券,证券,1758.01,1811.41,1741.56,1756.65,474.94,8343.03,-0.08,9.96,21.83
2026-06-14,000002,万科A,房地产,178.49,190.75,166.17,186.77,415.86,776.7,4.64,2.01,27.99
2025-04-26,600690,海尔智家,家电,63.84,66.97,60.56,66.22,161.36,106.85,3.73,9.67,14.01
2025-04-13,000651,格力电器,家电,1353.39,1381.45,1336.89,1360.19,458.73,6239.6,0.5,8.23,72.31
2025-10-22,002594,比亚迪,新能源车,83.78,85.79,80.9,82.42,433.83,357.56,-1.62,9.66,40.39
2026-02-27,000858,五粮液,白酒,1021.12,1048.36,999.1,1026.09,448.95,4606.63,0.49,8.64,28.79
2026-02-18,000858,五粮液,白酒,68.96,72.38,65.0,71.05,491.17,348.98,3.03,1.84,15.08
2026-01-19,000002,万科A,房地产,1360.47,1428.13,1268.67,1294.22,412.49,5338.53,-4.87,13.23,36.68
2026-01-09,300750,宁德时代,电池,973.67,978.78,962.46,970.28,211.74,2054.47,-0.35,0.71,45.13
2025-12-05,000002,万科A,房地产,1355.34,1410.43,1297.26,1312.03,199.39,2616.06,-3.2,7.06,35.1
2026-07-23,000001,平安银行,银行,379.17,380.85,369.35,380.78,391.13,1489.34,0.43,2.22,10.83
2025-03-29,002594,比亚迪,新能源车,233.61,241.69,228.0,236.43,73.56,173.92,1.21,11.52,37.9
2025-08-25,600690,海尔智家,家电,1223.51,1301.07,1151.49,1169.87,414.63,4850.63,-4.38,8.99,72.9
2025-05-03,601398,工商银行,银行,150.81,161.24,143.9,157.11,67.29,105.72,4.18,10.08,34.96
2026-02-22,600036,招商银行,银行,584.14,616.26,561.2,566.94,78.57,445.44,-2.94,3.01,28.73
2026-07-13,601899,紫金矿业,有色金属,154.47,165.17,143.21,161.46,270.64,436.98,4.52,12.73,33.66
2026-01-31,000333,美的集团,家电,1127.91,1177.8,1059.43,1168.97,249.77,2919.74,3.64,1.47,61.17
2025-12-27,601398,工商银行,银行,677.9,703.08,646.22,654.54,381.84,2499.3,-3.45,12.7,58.51
2026-01-02,300750,宁德时代,电池,1228.21,1296.94,1137.14,1167.68,117.05,1366.77,-4.93,14.59,33.95
2025-06-06,601899,紫金矿业,有色金属,1528.57,1624.45,1433.65,1596.84,432.19,6901.38,4.47,2.58,34.08
2026-04-22,300750,宁德时代,电池,812.02,835.85,774.58,833.24,342.54,2854.18,2.61,2.18,39.82
2026-04-09,601899,紫金矿业,有色金属,1567.47,1671.39,1497.39,1630.06,34.54,563.02,3.99,13.14,8.69
2026-07-15,002594,比亚迪,新能源车,1796.34,1824.43,1756.65,1788.34,471.09,8424.69,-0.45,5.09,11.58
2025-06-17,600030,中信证券,证券,1573.75,1599.61,1512.64,1553.65,472.66,7343.48,-1.28,9.63,72.65
2026-03-06,600036,招商银行,银行,1768.81,1826.75,1712.32,1781.25,205.85,3666.7,0.7,7.96,54.28
2025-10-14,601318,中国平安,保险,759.42,814.32,717.06,794.81,51.39,408.45,4.66,1.95,44.0
2026-07-18,000001,平安银行,银行,1152.23,1194.74,1116.94,1170.01,67.76,792.8,1.54,14.95,33.61
2025-12-03,601166,兴业银行,银行,454.89,487.56,429.32,475.1,210.55,1000.32,4.44,13.16,53.86
2025-12-02,002594,比亚迪,新能源车,25.53,26.59,25.06,25.12,357.8,89.88,-1.61,8.14,10.19
2025-06-09,600030,中信证券,证券,963.24,1007.51,917.14,945.63,396.7,3751.31,-1.83,4.09,34.85
2025-06-24,000333,美的集团,家电,1356.03,1394.1,1319.46,1377.12,160.3,2207.52,1.56,14.13,49.57
2025-04-18,600690,海尔智家,家电,1589.49,1623.41,1542.91,1599.09,393.69,6295.46,0.6,4.94,35.48
2025-07-16,601166,兴业银行,银行,970.35,983.55,936.36,976.92,337.24,3294.57,0.68,1.58,56.74
2026-03-10,600519,贵州茅台,白酒,1413.46,1486.31,1321.88,1469.68,312.39,4591.13,3.98,7.08,59.84
2026-04-24,600030,中信证券,证券,597.27,604.69,591.49,601.65,423.4,2547.39,0.73,6.99,36.11
2025-06-28,601899,紫金矿业,有色金属,1152.93,1209.6,1112.28,1179.93,81.76,964.71,2.34,2.52,32.72
2025-10-12,601398,工商银行,银行,1252.59,1320.78,1196.42,1286.45,225.95,2906.73,2.7,10.3,47.11
2025-07-16,000001,平安银行,银行,126.27,131.63,117.69,131.46,36.37,47.81,4.11,11.94,31.28
2025-04-28,000333,美的集团,家电,196.66,197.96,195.18,196.95,354.83,698.84,0.15,11.62,49.21
2026-05-01,000651,格力电器,家电,623.73,640.98,596.31,632.5,28.51,180.33,1.41,5.82,12.59
2026-02-14,300750,宁德时代,电池,526.5,539.1,515.5,522.43,317.04,1656.31,-0.77,10.25,9.13
2026-07-15,601398,工商银行,银行,315.09,319.71,302.83,319.18,44.59,142.32,1.3,10.55,47.2
2026-07-21,000001,平安银行,银行,140.15,141.58,135.87,140.56,148.84,209.21,0.29,5.73,61.04
2025-05-02,601166,兴业银行,银行,1696.24,1744.88,1675.19,1681.24,428.31,7200.92,-0.88,12.67,57.81
2025-06-26,601318,中国平安,保险,39.23,41.02,37.03,40.32,108.64,43.8,2.78,8.54,73.92
2026-07-17,600036,招商银行,银行,1303.87,1343.02,1249.61,1328.77,360.75,4793.54,1.91,13.51,5.74
2025-05-16,600519,贵州茅台,白酒,851.37,886.2,809.35,879.1,396.51,3485.72,3.26,11.22,31.56
2025-07-01,601166,兴业银行,银行,980.75,1036.83,932.12,946.29,416.5,3941.3,-3.51,13.34,50.1
2026-01-06,601899,紫金矿业,有色金属,131.07,137.07,124.96,136.12,420.46,572.33,3.85,2.67,74.36
2025-12-12,601318,中国平安,保险,1432.11,1504.38,1394.37,1467.93,359.8,5281.61,2.5,9.94,49.01
2025-12-20,000002,万科A,房地产,1037.28,1077.47,1011.28,1048.14,444.78,4661.92,1.05,13.24,58.63
2026-01-21,000001,平安银行,银行,1764.79,1865.71,1691.58,1714.03,63.34,1085.67,-2.88,14.84,51.59
2025-06-15,601899,紫金矿业,有色金属,600.71,625.41,564.74,576.46,422.78,2437.16,-4.04,13.24,21.67
2025-05-02,300750,宁德时代,电池,941.12,989.66,909.42,917.31,431.6,3959.11,-2.53,3.7,44.07
2025-04-08,600519,贵州茅台,白酒,1141.13,1179.54,1087.08,1109.01,423.76,4699.54,-2.81,9.07,32.1
2025-08-17,000858,五粮液,白酒,577.39,588.41,562.66,574.0,237.2,1361.53,-0.59,6.6,36.73
2026-03-14,600036,招商银行,银行,1584.78,1618.28,1518.39,1554.51,147.95,2299.9,-1.91,13.85,74.1
2025-07-13,000002,万科A,房地产,857.45,871.97,834.84,856.05,173.34,1483.88,-0.16,1.86,29.43
2026-06-22,600519,贵州茅台,白酒,1092.35,1122.15,1033.88,1064.98,375.69,4001.02,-2.51,11.93,68.85
2025-09-24,000333,美的集团,家电,1668.68,1717.8,1638.99,1656.51,265.22,4393.4,-0.73,12.15,33.53
2026-05-29,600690,海尔智家,家电,796.28,826.38,748.91,769.05,397.8,3059.28,-3.42,6.35,48.84
2025-09-19,600690,海尔智家,家电,1592.5,1676.88,1502.23,1661.19,118.84,1974.16,4.31,5.19,67.34
2025-08-11,601318,中国平安,保险,1441.07,1501.72,1382.55,1423.62,119.32,1698.66,-1.21,12.84,72.99
2025-04-20,600690,海尔智家,家电,52.22,54.63,48.93,54.01,339.69,183.47,3.43,2.26,54.2
2026-03-04,601899,紫金矿业,有色金属,1322.66,1328.93,1307.35,1319.2,156.54,2065.08,-0.26,2.89,23.04
2025-07-16,000333,美的集团,家电,1105.81,1162.13,1048.22,1141.16,394.23,4498.8,3.2,6.78,76.73
2025-07-09,600519,贵州茅台,白酒,1505.9,1605.31,1433.65,1562.66,287.26,4488.9,3.77,2.31,31.22
2025-09-24,600030,中信证券,证券,1285.91,1358.43,1222.75,1346.74,460.16,6197.16,4.73,4.92,46.95
2025-09-13,000651,格力电器,家电,1044.08,1080.05,1001.95,1065.76,236.58,2521.38,2.08,12.55,34.63
2025-04-19,601166,兴业银行,银行,512.47,544.09,482.56,490.93,10.61,52.09,-4.2,14.38,79.18
2025-06-29,002594,比亚迪,新能源车,725.59,767.24,699.59,751.58,269.86,2028.21,3.58,14.99,58.47
2026-05-31,601166,兴业银行,银行,912.62,940.66,897.03,913.84,130.98,1196.95,0.13,14.77,18.07
2026-07-14,600036,招商银行,银行,333.72,348.18,323.43,339.94,305.16,1037.36,1.86,6.74,63.05
2025-04-27,601899,紫金矿业,有色金属,241.68,258.76,229.2,253.19,445.57,1128.14,4.76,6.13,25.83
2025-11-14,000333,美的集团,家电,1709.86,1749.91,1664.72,1712.89,296.52,5079.06,0.18,4.66,71.74
2025-04-09,601318,中国平安,保险,730.44,781.3,694.28,694.93,397.02,2759.01,-4.86,7.08,63.9
2025-07-16,600519,贵州茅台,白酒,1304.63,1378.21,1244.53,1267.97,293.98,3727.58,-2.81,11.11,42.37
2026-03-08,300750,宁德时代,电池,1141.6,1188.17,1099.43,1163.43,437.01,5084.31,1.91,2.79,24.62
2025-05-22,600690,海尔智家,家电,158.37,161.55,152.82,156.35,105.01,164.18,-1.27,9.96,56.32
2026-02-22,601899,紫金矿业,有色金属,1261.06,1327.96,1188.07,1209.21,168.51,2037.64,-4.11,5.51,48.56
2025-12-29,600030,中信证券,证券,51.69,54.0,49.81,53.09,494.66,262.61,2.72,5.65,45.84
2025-07-16,002594,比亚迪,新能源车,1628.99,1742.83,1544.12,1560.65,399.09,6228.4,-4.2,10.9,34.87
2026-01-28,601398,工商银行,银行,127.08,133.41,118.78,132.53,290.29,384.72,4.29,8.28,55.74
2026-06-18,601398,工商银行,银行,515.09,554.05,475.45,489.47,452.37,2214.22,-4.97,9.47,68.86
2025-08-06,601318,中国平安,保险,424.75,450.07,398.16,405.05,397.61,1610.52,-4.64,14.34,42.31
2026-04-05,600030,中信证券,证券,1773.0,1855.74,1703.22,1712.54,207.8,3558.66,-3.41,10.33,50.34
2026-03-06,601899,紫金矿业,有色金属,185.2,191.12,175.24,190.62,221.74,422.68,2.92,14.77,15.63
2025-11-17,600030,中信证券,证券,1728.32,1760.15,1662.94,1753.35,180.67,3167.78,1.45,14.22,62.1
2025-08-29,002594,比亚迪,新能源车,628.63,640.13,600.45,638.15,368.37,2350.75,1.51,12.12,16.27
2026-03-13,601166,兴业银行,银行,463.79,473.53,444.11,471.09,47.82,225.28,1.57,7.44,79.06
2025-06-24,300750,宁德时代,电池,784.38,830.31,759.05,809.66,193.83,1569.36,3.22,7.49,16.41
2025-10-17,300750,宁德时代,电池,1338.99,1398.38,1301.83,1363.72,382.22,5212.41,1.85,9.57,34.98
2026-05-26,601166,兴业银行,银行,1347.98,1427.74,1291.28,1301.63,479.6,6242.62,-3.44,12.01,23.66
2025-12-31,300750,宁德时代,电池,1825.64,1867.38,1780.38,1834.92,76.97,1412.34,0.51,5.96,48.92
2026-06-12,002594,比亚迪,新能源车,1743.9,1853.72,1661.47,1803.78,31.05,560.07,3.43,8.71,18.81
2026-05-13,600519,贵州茅台,白酒,1533.27,1622.93,1461.03,1596.38,113.75,1815.88,4.12,5.74,48.93
2026-07-25,600036,招商银行,银行,250.82,258.95,241.0,257.31,95.24,245.06,2.59,8.28,20.85
2026-05-10,601398,工商银行,银行,1334.11,1377.37,1316.06,1348.39,366.44,4941.04,1.07,10.28,64.26
2026-06-16,000002,万科A,房地产,586.81,598.53,581.71,589.75,479.72,2829.15,0.5,14.72,25.38
2026-04-20,000002,万科A,房地产,693.83,714.09,671.29,711.02,89.7,637.78,2.48,7.76,56.01
2025-05-18,000651,格力电器,家电,1331.26,1376.02,1273.54,1295.16,12.85,166.43,-2.71,9.61,65.06
2025-12-01,300750,宁德时代,电池,419.23,442.73,398.26,408.15,23.59,96.28,-2.64,1.11,75.7
2025-04-26,300750,宁德时代,电池,1778.09,1819.88,1746.18,1767.24,310.95,5495.23,-0.61,0.64,38.47
2025-03-19,000651,格力电器,家电,423.5,448.38,408.42,436.94,57.55,251.46,3.17,1.69,75.4
2026-03-16,600519,贵州茅台,白酒,480.94,502.92,459.42,488.89,425.53,2080.37,1.65,3.31,24.18
2025-08-17,601899,紫金矿业,有色金属,544.79,556.19,526.56,539.66,388.23,2095.12,-0.94,14.85,19.36
2026-04-05,601318,中国平安,保险,1694.27,1787.39,1623.75,1630.61,436.03,7109.95,-3.76,5.2,49.95
2026-07-03,601318,中国平安,保险,1299.49,1341.83,1270.28,1293.17,271.69,3513.41,-0.49,5.02,20.04
2026-01-23,000001,平安银行,银行,775.65,801.11,753.51,756.39,204.11,1543.87,-2.48,8.54,46.84
2025-08-21,000858,五粮液,白酒,1410.53,1498.81,1323.31,1362.97,398.11,5426.12,-3.37,11.4,45.02
2026-05-07,002594,比亚迪,新能源车,201.54,211.92,190.36,195.68,459.9,899.93,-2.91,13.22,57.42
2026-06-01,601398,工商银行,银行,1060.38,1068.25,1029.42,1056.52,100.71,1064.02,-0.36,4.52,58.51
2026-03-13,601318,中国平安,保险,661.87,701.45,628.08,692.01,106.16,734.64,4.55,13.24,59.82
2025-03-26,002594,比亚迪,新能源车,597.68,614.83,579.26,608.12,411.97,2505.27,1.75,1.08,45.03
2026-04-22,000333,美的集团,家电,227.28,235.85,222.23,230.77,246.09,567.9,1.54,8.05,68.19
2025-03-26,000858,五粮液,白酒,1624.87,1705.85,1560.47,1587.29,304.02,4825.68,-2.31,6.92,26.4
2026-02-01,600030,中信证券,证券,1651.5,1764.48,1531.95,1727.57,155.67,2689.31,4.61,4.1,8.07
2025-06-18,000858,五粮液,白酒,531.66,541.28,525.68,526.48,53.27,280.46,-0.97,9.69,65.13
