监测点ID,城市,日期,天气类型,温度(℃),湿度(%),AQI,PM2.5,PM10,SO2,NO2,CO,O3,是否达标
AQM0024,广州,2026-02-01,霾,24.5,54,94,95,261,9.2,24.3,0.58,126,是
AQM0025,沈阳,2025-09-11,雾,21.8,76,63,176,314,45.9,14.2,0.86,172,是
AQM0026,长沙,2026-03-29,大雨,-1.6,25,91,273,99,55.9,97.3,1.83,141,是
AQM0027,长沙,2026-02-02,雾,6.6,61,254,21,231,5.7,51.5,2.35,198,否
AQM0028,长沙,2025-10-31,霾,24.3,83,265,42,184,51.1,94.8,7.66,55,否
AQM0029,广州,2026-05-16,大雨,19.7,67,303,194,388,9.0,37.9,2.29,30,否
AQM0030,广州,2026-03-05,雷阵雨,21.9,85,244,248,269,76.6,30.7,3.86,150,否
AQM0031,长沙,2025-12-31,中雨,7.3,86,112,116,143,70.2,49.9,3.58,44,否
AQM0032,西安,2025-10-31,雪,35.5,95,106,115,103,13.9,21.3,7.63,98,否
AQM0033,沈阳,2026-04-20,雪,-4.9,81,236,99,176,43.8,31.0,0.5,104,否
AQM0034,沈阳,2025-08-02,大雨,20.0,61,266,50,167,23.8,97.1,5.42,144,否
AQM0035,沈阳,2025-12-07,大雨,19.9,54,290,135,53,43.1,101.7,7.58,146,否
AQM0036,郑州,2025-10-09,阴,31.0,95,59,50,244,10.8,51.3,3.55,73,是
AQM0037,长沙,2025-09-18,多云,30.1,40,274,165,75,26.3,37.6,1.0,190,否
AQM0038,成都,2025-12-18,小雨,9.4,61,89,78,32,36.2,76.3,3.45,124,是
AQM0039,北京,2026-04-10,雷阵雨,24.6,44,27,123,124,45.6,83.2,3.64,130,是
AQM0040,上海,2026-01-14,晴,16.3,65,106,246,30,50.0,118.1,5.23,191,否
AQM0041,成都,2025-12-25,晴,32.8,56,336,197,394,76.1,119.7,3.66,44,否
AQM0042,沈阳,2026-07-11,雾,23.9,51,263,68,101,77.9,97.2,5.37,77,否
AQM0043,天津,2026-06-19,阴,31.0,20,269,254,290,63.0,42.6,5.15,146,否
AQM0044,苏州,2026-07-28,多云,23.7,31,25,245,383,75.3,91.8,3.43,105,是
AQM0045,深圳,2026-07-19,晴,11.5,67,161,63,182,36.4,64.7,6.88,164,否
AQM0046,武汉,2026-01-08,阴,29.0,85,124,81,58,48.7,66.6,0.89,44,否
AQM0047,长沙,2026-06-27,小雨,33.2,60,49,220,314,78.3,81.2,1.32,88,是
AQM0048,武汉,2026-06-16,中雨,19.7,92,308,120,207,23.1,110.6,5.32,31,否
AQM0049,北京,2025-08-14,雪,16.4,74,142,90,207,50.4,16.4,4.16,100,否
AQM0050,西安,2025-09-06,多云,31.2,35,62,111,111,28.8,67.4,5.1,122,是
AQM0051,深圳,2026-03-14,多云,2.5,64,53,177,334,30.5,30.0,7.12,42,是
AQM0052,广州,2026-01-30,中雨,3.6,53,253,70,33,28.9,111.3,6.11,200,否
AQM0053,苏州,2026-02-02,阴,30.6,21,39,244,148,30.2,74.6,1.04,92,是
AQM0054,重庆,2025-12-29,雷阵雨,20.8,42,99,100,269,23.9,47.5,2.59,54,是
AQM0055,南京,2026-06-17,中雨,21.6,42,341,47,230,31.9,59.9,5.23,169,否
AQM0056,苏州,2025-09-01,雷阵雨,-1.0,43,86,34,287,64.5,28.3,1.98,200,是
AQM0057,西安,2026-06-12,大雨,23.4,71,346,258,270,66.8,57.0,4.1,136,否
AQM0058,长沙,2026-02-28,雷阵雨,23.5,75,283,88,170,58.3,21.7,5.32,159,否
AQM0059,长沙,2025-08-16,雾,25.3,82,91,215,110,50.6,85.9,1.2,183,是
AQM0060,武汉,2026-06-02,小雨,3.3,91,220,103,313,67.3,39.4,4.53,85,否
AQM0061,深圳,2026-04-11,中雨,7.8,55,38,267,400,64.7,54.5,3.23,168,是
AQM0062,深圳,2026-07-06,阴,3.4,38,103,90,302,2.6,88.5,2.18,71,否
AQM0063,广州,2025-12-19,小雨,12.5,89,233,227,81,58.8,31.9,7.98,80,否
AQM0064,长沙,2025-11-29,雪,13.9,71,60,120,54,57.1,105.3,7.27,185,是
AQM0065,杭州,2026-04-18,霾,17.5,69,53,141,148,25.2,18.4,2.05,51,是
AQM0066,成都,2026-01-18,雾,-3.1,48,330,200,111,28.0,40.0,2.67,30,否
AQM0067,南京,2025-09-26,雪,23.0,60,202,73,327,74.5,20.4,2.99,32,否
AQM0068,长沙,2026-06-30,雾,23.6,72,217,198,178,49.9,84.9,7.43,170,否
AQM0069,北京,2026-04-01,晴,31.1,30,34,233,33,73.8,18.1,6.72,102,是
AQM0070,成都,2025-08-06,小雨,28.2,66,123,82,221,33.6,41.8,4.71,55,否
AQM0071,深圳,2026-07-26,雪,19.1,81,278,63,10,18.7,74.3,7.27,40,否
AQM0072,天津,2025-09-13,阴,28.4,29,153,277,60,60.5,15.2,4.12,61,否
AQM0073,武汉,2025-10-26,小雨,10.7,53,114,261,387,35.8,73.9,3.46,172,否
AQM0074,成都,2026-02-10,雪,23.3,29,339,15,343,76.1,49.2,3.17,56,否
AQM0075,武汉,2026-06-03,晴,30.7,55,99,155,160,13.9,20.5,4.55,36,是
AQM0076,上海,2026-02-08,大雨,31.8,93,263,175,49,31.1,86.0,7.4,60,否
AQM0077,北京,2026-03-03,大雨,9.1,68,298,93,27,27.0,27.8,7.12,89,否
AQM0078,上海,2025-11-03,小雨,18.7,56,242,119,153,14.1,114.7,0.71,59,否
AQM0079,上海,2026-01-23,阴,27.4,51,171,66,98,26.3,60.4,2.38,77,否
AQM0080,西安,2025-12-03,大雨,25.6,28,254,168,322,72.4,81.5,1.4,35,否
AQM0081,武汉,2026-07-18,多云,21.8,27,200,24,52,24.8,33.5,0.65,145,否
AQM0082,成都,2025-11-15,小雨,7.8,77,332,101,268,30.7,12.5,3.44,69,否
AQM0083,天津,2026-02-12,小雨,-4.1,75,50,157,378,38.1,32.6,2.2,23,是
AQM0084,西安,2025-11-14,中雨,0.5,50,58,234,62,43.4,30.8,6.44,199,是
AQM0085,上海,2026-03-22,大雨,19.5,26,60,158,223,39.2,25.2,3.75,99,是
AQM0086,苏州,2026-01-03,雷阵雨,27.8,27,290,33,60,70.8,93.7,6.55,56,否
AQM0087,郑州,2026-05-08,中雨,-4.7,21,338,18,292,6.3,42.7,1.85,70,否
AQM0088,天津,2026-02-17,阴,9.4,32,123,213,118,45.9,62.8,2.19,30,否
AQM0089,重庆,2026-06-09,阴,25.8,86,176,145,317,12.8,59.9,4.35,84,否
AQM0090,杭州,2025-08-13,中雨,16.4,94,111,247,113,27.8,63.7,1.74,147,否
AQM0091,长沙,2025-12-30,中雨,11.1,52,204,51,388,26.9,16.5,0.73,196,否
AQM0092,深圳,2026-07-27,多云,-1.1,49,198,97,73,48.7,37.1,1.4,113,否
AQM0093,北京,2026-07-28,多云,24.8,87,101,94,315,9.3,65.7,1.98,37,否
AQM0094,上海,2025-08-26,大雨,33.4,48,142,60,392,26.3,77.3,3.55,84,否
AQM0095,郑州,2025-09-04,中雨,10.4,32,257,162,170,48.5,119.1,1.2,150,否
AQM0096,长沙,2026-06-16,多云,27.0,81,66,201,125,35.0,18.3,7.97,112,是
AQM0097,武汉,2025-09-07,晴,36.3,84,310,98,140,44.7,103.9,2.7,130,否
AQM0098,南京,2026-06-13,雷阵雨,23.0,37,196,101,270,74.0,105.5,5.18,172,否
AQM0099,上海,2026-06-24,小雨,-1.0,58,47,260,89,66.0,18.5,7.44,60,是
AQM0100,成都,2025-08-25,雾,25.9,43,161,212,77,16.8,49.8,6.32,184,否
AQM0101,天津,2025-09-02,雾,-3.6,63,65,172,254,32.9,111.5,7.8,165,是
AQM0102,上海,2026-04-27,霾,3.3,69,156,96,175,74.0,12.0,6.88,72,否
AQM0103,重庆,2026-01-03,大雨,8.1,37,265,104,92,69.2,42.2,5.22,47,否
AQM0104,天津,2026-05-08,雪,-4.6,20,62,194,45,38.5,117.5,2.37,171,是
AQM0105,成都,2025-08-04,多云,25.1,59,202,244,143,66.0,28.4,7.23,87,否
AQM0106,北京,2025-11-27,中雨,25.7,72,312,162,95,19.3,24.3,7.88,157,否
AQM0107,苏州,2026-07-20,雷阵雨,13.4,27,201,109,176,40.1,96.5,7.52,161,否
AQM0108,杭州,2025-09-08,阴,-3.8,56,276,113,216,62.5,108.5,6.31,39,否
AQM0109,成都,2026-07-27,多云,33.0,22,155,184,387,16.2,50.4,6.56,125,否
AQM0110,广州,2026-05-03,大雨,0.5,53,306,149,161,58.8,62.4,3.92,126,否
AQM0111,重庆,2026-06-29,中雨,7.4,64,33,191,245,70.2,80.1,7.81,119,是
AQM0112,天津,2026-01-04,小雨,12.3,66,222,46,309,20.9,67.2,3.01,127,否
AQM0113,杭州,2026-07-16,雾,6.6,20,176,244,273,22.7,78.7,7.78,35,否
AQM0114,西安,2025-11-23,大雨,33.2,49,319,200,225,16.3,48.8,6.02,118,否
AQM0115,长沙,2026-07-04,阴,15.9,88,303,147,53,58.7,84.1,6.26,110,否
AQM0116,郑州,2026-04-17,阴,27.7,57,284,20,365,37.4,23.8,3.99,141,否
AQM0117,重庆,2025-11-08,多云,0.7,59,180,276,140,44.7,35.7,1.18,196,否
AQM0118,武汉,2025-12-20,雾,14.6,90,209,84,76,28.3,66.4,4.26,140,否
AQM0119,南京,2026-03-07,大雨,34.2,80,168,18,321,59.7,88.9,7.51,131,否
AQM0120,西安,2026-04-26,大雨,27.6,25,215,82,398,7.8,62.4,3.12,198,否
AQM0121,郑州,2026-04-25,多云,19.6,89,93,201,238,61.1,71.0,3.5,73,是
AQM0122,重庆,2026-04-15,中雨,-3.3,29,87,93,307,76.9,32.2,2.73,187,是
AQM0123,长沙,2025-11-23,晴,12.7,37,248,243,361,36.2,81.2,6.2,60,否
AQM0124,沈阳,2026-07-11,大雨,18.1,32,39,258,359,50.7,117.1,0.63,51,是
AQM0125,天津,2025-08-27,多云,-4.8,69,24,213,86,65.9,78.8,0.65,106,是
AQM0126,北京,2025-10-09,多云,15.4,40,130,203,279,76.3,85.4,7.67,22,否
AQM0127,沈阳,2025-12-31,雷阵雨,-2.3,43,30,159,43,32.1,101.1,4.42,158,是
AQM0128,长沙,2025-11-04,中雨,33.7,62,221,14,160,24.9,99.5,2.55,78,否
AQM0129,长沙,2025-08-28,雷阵雨,23.8,29,340,267,324,72.0,71.7,5.01,173,否
AQM0130,成都,2026-01-22,雷阵雨,35.5,65,320,113,358,50.3,23.4,4.15,66,否
AQM0131,深圳,2026-01-16,晴,2.9,86,121,76,317,21.5,74.4,1.36,65,否
AQM0132,郑州,2026-03-13,雾,18.1,59,305,98,262,5.0,12.3,4.77,95,否
AQM0133,沈阳,2025-11-20,霾,2.4,86,182,217,276,13.3,20.5,6.16,93,否
AQM0134,杭州,2026-05-03,大雨,9.1,69,281,39,313,11.4,84.7,6.51,44,否
AQM0135,郑州,2026-07-10,晴,30.0,86,189,199,184,36.7,36.2,7.52,146,否
AQM0136,武汉,2026-02-19,小雨,23.5,38,114,125,232,53.5,68.6,2.83,46,否
AQM0137,西安,2025-09-14,霾,14.4,95,229,71,209,79.5,67.5,4.19,25,否
AQM0138,深圳,2025-07-31,大雨,37.9,54,171,32,54,12.4,75.2,0.78,188,否
AQM0139,上海,2025-10-29,小雨,29.7,79,274,83,14,74.7,16.4,6.51,68,否
AQM0140,天津,2026-02-17,中雨,29.7,95,288,245,358,11.9,20.8,3.34,91,否
AQM0141,苏州,2026-03-16,多云,11.5,40,111,262,377,74.8,73.9,5.3,160,否
AQM0142,武汉,2026-04-16,雷阵雨,37.2,59,313,249,332,30.2,96.9,4.75,169,否
AQM0143,天津,2025-12-23,大雨,11.9,52,75,124,277,76.7,110.9,0.48,63,是
AQM0144,沈阳,2026-03-30,雷阵雨,37.4,84,338,268,216,46.2,76.9,8.0,171,否
AQM0145,广州,2025-11-18,雾,1.3,71,279,23,278,37.4,81.7,6.9,178,否
AQM0146,深圳,2025-11-08,阴,-2.5,25,21,48,70,40.9,101.6,4.34,150,是
AQM0147,深圳,2025-08-03,大雨,15.4,76,45,279,193,20.8,61.5,1.58,50,是
AQM0148,深圳,2025-07-31,雪,23.3,35,312,265,155,48.1,51.1,6.84,114,否
AQM0149,郑州,2026-06-01,霾,7.8,69,118,220,116,16.7,68.8,0.96,185,否
AQM0150,广州,2026-01-10,阴,1.3,28,30,155,236,37.0,71.3,0.63,166,是
