学校名称,985,211,双一流,普通院校,院系名称,专业,招生人数,学习方式,分数线
北京大学,是,是,是,不是,中国语言文学系,中国现当代文学,12,全日制,355
北京大学,是,是,是,不是,中国语言文学系,比较文学与世界文学,4,全日制,355
北京大学,是,是,是,不是,外国语学院,比较文学与世界文学,4,全日制,355
北京大学,是,是,是,不是,外国语学院,英语语言文学,16,全日制,355
北京大学,是,是,是,不是,外国语学院,俄语语言文学,7,全日制,355
北京大学,是,是,是,不是,外国语学院,印度语言文学,5,全日制,355
北京大学,是,是,是,不是,外国语学院,亚非语言文学,15,全日制,355
北京大学,是,是,是,不是,外国语学院,外国语言学及应用语言学,6,全日制,355
北京大学,是,是,是,不是,外国语学院,英语笔译,24,全日制,355
北京大学,是,是,是,不是,外国语学院,日语口译,24,全日制,355
北京大学,是,是,是,不是,新闻与传播学院,新闻与传播,50,全日制,365
北京大学,是,是,是,不是,新闻与传播学院,新闻与传播,1,全日制,365
北京大学,是,是,是,不是,深圳研究生院,新闻与传播,30,全日制,365
北京大学,是,是,是,不是,新媒体研究院,新闻与传播,29,全日制,365
北京大学,是,是,是,不是,新媒体研究院,新闻与传播,1,全日制,365
北京大学,是,是,是,不是,历史学系,中国史,21,全日制,345
北京大学,是,是,是,不是,历史学系,世界史,17,全日制,345
北京大学,是,是,是,不是,考古文博学院,博物馆,24,全日制,340
北京大学,是,是,是,不是,城市与环境学院,自然地理学,15,全日制,300
北京大学,是,是,是,不是,城市与环境学院,人文地理学,9,全日制,300
北京大学,是,是,是,不是,地球与空间科学学院,矿物学、岩石学、矿床学,5,全日制,300
北京大学,是,是,是,不是,地球与空间科学学院,地球化学,5,全日制,300
北京大学,是,是,是,不是,地球与空间科学学院,古生物学与地层学,5,全日制,300
北京大学,是,是,是,不是,地球与空间科学学院,构造地质学,8,全日制,300
北京大学,是,是,是,不是,前沿交叉学科研究院,科学技术史,4,全日制,300
北京大学,是,是,是,不是,城市与环境学院,生态学,11,全日制,300
北京大学,是,是,是,不是,城市与环境学院,生态学,1,全日制,300
北京大学,是,是,是,不是,城市与环境学院,环境科学,13,全日制,300
北京大学,是,是,是,不是,深圳研究生院,环境科学,23,全日制,300
北京大学,是,是,是,不是,环境科学与工程学院,环境工程,4,全日制,300
北京大学,是,是,是,不是,深圳研究生院,环境工程,27,全日制,300
北京大学,是,是,是,不是,深圳研究生院,材料科学与工程,20,全日制,300
北京大学,是,是,是,不是,电子学院,电子科学与技术,21,全日制,300
北京大学,是,是,是,不是,电子学院,信息与通信工程,23,全日制,300
北京大学,是,是,是,不是,深圳研究生院,计算机科学与技术,75,全日制,300
北京大学,是,是,是,不是,计算机学院,计算机科学与技术,76,全日制,300
北京大学,是,是,是,不是,物理学院,电子信息,36,全日制,330
北京大学,是,是,是,不是,软件与微电子学院,电子信息,583,全日制,330
北京大学,是,是,是,不是,先进制造与机器人学院,机械,27,全日制,340
北京大学,是,是,是,不是,力学与工程科学学院,机械,56,全日制,340
北京大学,是,是,是,不是,深圳研究生院,材料与化工,48,全日制,300
北京大学,是,是,是,不是,建筑与景观设计学院,风景园林,22,全日制,330
北京大学,是,是,是,不是,建筑与景观设计学院,风景园林,20,非全日制,330
北京大学,是,是,是,不是,医学部,基础医学,31,全日制,310
北京大学,是,是,是,不是,医学部,临床医学,125,全日制,310
北京大学,是,是,是,不是,医学部,口腔医学,24,全日制,310
北京大学,是,是,是,不是,医学部,中西医结合,8,全日制,310
北京大学,是,是,是,不是,医学部,药学,4,全日制,310
北京大学,是,是,是,不是,医学部,护理学,10,全日制,310
北京大学,是,是,是,不是,医学部,临床医学,304,全日制,350
北京大学,是,是,是,不是,医学部,口腔医学,55,全日制,320
北京大学,是,是,是,不是,医学部,公共卫生,33,全日制,310
北京大学,是,是,是,不是,医学部,公共卫生,1,全日制,310
北京大学,是,是,是,不是,医学部,公共卫生,18,非全日制,310
北京大学,是,是,是,不是,医学部,护理,17,全日制,320
北京大学,是,是,是,不是,医学部,护理,10,非全日制,320
北京大学,是,是,是,不是,医学部,药学,36,全日制,335
北京大学,是,是,是,不是,医学部,医学技术,26,全日制,310
北京大学,是,是,是,不是,深圳研究生院,企业管理,40,全日制,340
北京大学,是,是,是,不是,政府管理学院,行政管理,10,全日制,340
北京大学,是,是,是,不是,教育学院,教育经济与管理,13,全日制,340
北京大学,是,是,是,不是,信息管理系,情报学,5,全日制,340
北京大学,是,是,是,不是,光华管理学院,工商管理,40,全日制,151
北京大学,是,是,是,不是,光华管理学院,工商管理,372,非全日制,151
北京大学,是,是,是,不是,国家发展研究院,工商管理,100,非全日制,151
北京大学,是,是,是,不是,深圳研究生院,工商管理,200,非全日制,151
北京大学,是,是,是,不是,国际关系学院,公共管理,45,非全日制,195
北京大学,是,是,是,不是,政府管理学院,公共管理,20,全日制,195
北京大学,是,是,是,不是,政府管理学院,公共管理,200,非全日制,195
北京大学,是,是,是,不是,习近平新时代中国特色社会主义思想研究院,公共管理,27,非全日制,195
北京大学,是,是,是,不是,光华管理学院,会计,35,全日制,245
北京大学,是,是,是,不是,软件与微电子学院,工程管理,201,非全日制,162
北京大学,是,是,是,不是,先进制造与机器人学院,工程管理,41,非全日制,162
北京大学,是,是,是,不是,力学与工程科学学院,工程管理,41,非全日制,162
北京大学,是,是,是,不是,光华管理学院,审计,5,全日制,245
北京大学,是,是,是,不是,艺术学院,戏剧与影视,14,全日制,355
北京大学,是,是,是,不是,艺术学院,戏剧与影视,60,非全日制,355
北京大学,是,是,是,不是,集成电路学院,集成电路科学与工程,18,全日制,300
北京大学,是,是,是,不是,深圳研究生院,集成电路科学与工程,60,全日制,300
北京大学,是,是,是,不是,地球与空间科学学院,遥感科学与技术,15,全日制,300
北京大学,是,是,是,不是,智能学院,智能科学与技术,17,全日制,300
北京大学,是,是,是,不是,法学院,商法,4,全日制,345
北京大学,是,是,是,不是,法学院,国际经济法,4,全日制,345
北京大学,是,是,是,不是,国际关系学院,国际政治经济学,6,全日制,345
北京大学,是,是,是,不是,国际关系学院,比较政治学,3,全日制,345
北京大学,是,是,是,不是,国际关系学院,国际组织与国际公共政策,6,全日制,345
北京大学,是,是,是,不是,社会学系,女性学,3,全日制,345
北京大学,是,是,是,不是,教育学院,医学教育,4,全日制,350
北京大学,是,是,是,不是,中国语言文学系,中国民间文学,2,全日制,355
北京大学,是,是,是,不是,环境科学与工程学院,环境健康,1,全日制,300
北京大学,是,是,是,不是,环境科学与工程学院,环境管理,7,全日制,300
北京大学,是,是,是,不是,城市与环境学院,国土空间规划,10,全日制,300
北京大学,是,是,是,不是,深圳研究生院,国土空间规划,55,全日制,300
北京大学,是,是,是,不是,政府管理学院,公共政策,6,全日制,340
北京大学,是,是,是,不是,政府管理学院,应急管理,2,全日制,340
北京大学,是,是,是,不是,政府管理学院,城市与区域管理,3,全日制,340
北京大学,是,是,是,不是,信息管理系,大数据管理与应用,4,全日制,340
北京大学,是,是,是,不是,社会学系,社会政策,17,全日制,325
北京大学,是,是,是,不是,数学科学学院,大数据,63,全日制,360
北京大学,是,是,是,不是,政府管理学院,中国政治,5,全日制,345
北京航空航天大学,是,是,是,不是,人文与社会科学高等研究院,哲学,4,全日制,330
北京航空航天大学,是,是,是,不是,经济管理学院,应用经济学,6,全日制,340
北京航空航天大学,是,是,是,不是,经济管理学院,金融,8,全日制,340
北京航空航天大学,是,是,是,不是,法学院,法学理论,1,全日制,325
北京航空航天大学,是,是,是,不是,法学院,法律史,1,全日制,325
北京航空航天大学,是,是,是,不是,人文与社会科学高等研究院,哲学,4,全日制,330
北京航空航天大学,是,是,是,不是,经济管理学院,应用经济学,6,全日制,340
北京航空航天大学,是,是,是,不是,经济管理学院,金融,8,全日制,340
北京航空航天大学,是,是,是,不是,法学院,法学理论,1,全日制,325
北京航空航天大学,是,是,是,不是,法学院,法律史,1,全日制,325
北京航空航天大学,是,是,是,不是,法学院,宪法学与行政法学,2,全日制,325
北京航空航天大学,是,是,是,不是,法学院,刑法学,2,全日制,325
北京航空航天大学,是,是,是,不是,法学院,民商法学,5,全日制,325
北京航空航天大学,是,是,是,不是,法学院,诉讼法学,2,全日制,325
北京航空航天大学,是,是,是,不是,法学院,经济法学,1,全日制,325
北京航空航天大学,是,是,是,不是,法学院,环境与资源保护法学,1,全日制,325
北京航空航天大学,是,是,是,不是,法学院,国际法学,1,全日制,325
北京航空航天大学,是,是,是,不是,马克思主义学院,马克思主义理论,23,全日制,325
北京航空航天大学,是,是,是,不是,法学院,法律（非法学）,6,全日制,325
北京航空航天大学,是,是,是,不是,法学院,法律（非法学）,20,非全日制,325
北京航空航天大学,是,是,是,不是,法学院,法律（法学）,5,全日制,325
北京航空航天大学,是,是,是,不是,法学院,法律（法学）,30,非全日制,325
北京航空航天大学,是,是,是,不是,人文社会科学学院,教育学,1,全日制,345
北京航空航天大学,是,是,是,不是,马克思主义学院,学科教学（思政）,20,非全日制,345
北京航空航天大学,是,是,是,不是,外国语学院,英语语言文学,5,全日制,360
北京航空航天大学,是,是,是,不是,外国语学院,外国语言学及应用语言学,8,全日制,360
北京航空航天大学,是,是,是,不是,外国语学院,英语笔译,10,全日制,360
北京航空航天大学,是,是,是,不是,数学科学学院,数学,10,全日制,295
北京航空航天大学,是,是,是,不是,人工智能学院,数学,1,全日制,295
北京航空航天大学,是,是,是,不是,物理学院,物理学,24,全日制,295
北京航空航天大学,是,是,是,不是,化学学院,化学,35,全日制,295
北京航空航天大学,是,是,是,不是,空间与地球科学学院,地球物理学,13,全日制,295
北京航空航天大学,是,是,是,不是,数学科学学院,统计学,2,全日制,295
北京航空航天大学,是,是,是,不是,生物与医学工程学院,生物医学工程,2,全日制,295
北京航空航天大学,是,是,是,不是,航空科学与工程学院,力学,14,全日制,295
北京航空航天大学,是,是,是,不是,自动化科学与电气工程学院,机械工程,13,全日制,295
北京航空航天大学,是,是,是,不是,交通科学与工程学院,机械工程,3,全日制,295
北京航空航天大学,是,是,是,不是,电子信息工程学院,光学工程,2,全日制,295
北京航空航天大学,是,是,是,不是,仪器科学与光电工程学院,光学工程,6,全日制,295
北京航空航天大学,是,是,是,不是,仪器科学与光电工程学院,仪器科学与技术,9,全日制,295
北京航空航天大学,是,是,是,不是,仪器科学与光电工程学院,仪器科学与技术,1,全日制,295
北京航空航天大学,是,是,是,不是,大科学装置研究院,仪器科学与技术,5,全日制,295
北京航空航天大学,是,是,是,不是,大科学装置研究院,仪器科学与技术,1,全日制,295
北京航空航天大学,是,是,是,不是,材料科学与工程学院,材料科学与工程,55,全日制,295
北京航空航天大学,是,是,是,不是,材料科学与工程学院,材料科学与工程,1,全日制,295
北京航空航天大学,是,是,是,不是,能源与动力工程学院,动力工程及工程热物理,25,全日制,295
北京航空航天大学,是,是,是,不是,电子信息工程学院,电子科学与技术,16,全日制,295
北京航空航天大学,是,是,是,不是,电子信息工程学院,信息与通信工程,26,全日制,295
北京航空航天大学,是,是,是,不是,自动化科学与电气工程学院,控制科学与工程,32,全日制,295
北京航空航天大学,是,是,是,不是,自动化科学与电气工程学院,控制科学与工程,1,全日制,295
北京航空航天大学,是,是,是,不是,可靠性与系统工程学院,控制科学与工程,8,全日制,295
北京航空航天大学,是,是,是,不是,可靠性与系统工程学院,控制科学与工程,1,全日制,295
北京航空航天大学,是,是,是,不是,宇航学院,控制科学与工程,4,全日制,295
北京航空航天大学,是,是,是,不是,宇航学院,控制科学与工程,1,全日制,295
北京航空航天大学,是,是,是,不是,中法工程师学院/国际通用工程学院,系统工程,2,全日制,295
北京航空航天大学,是,是,是,不是,计算机学院,计算机科学与技术,37,全日制,295
北京航空航天大学,是,是,是,不是,电子信息工程学院,交通运输工程,6,全日制,295
北京航空航天大学,是,是,是,不是,电子信息工程学院,交通运输工程,1,全日制,295
北京航空航天大学,是,是,是,不是,交通科学与工程学院,交通运输工程,3,全日制,295
北京航空航天大学,是,是,是,不是,交通科学与工程学院,交通运输工程,1,全日制,295
北京航空航天大学,是,是,是,不是,航空科学与工程学院,航空宇航科学与技术,14,全日制,295
北京航空航天大学,是,是,是,不是,航空科学与工程学院,航空宇航科学与技术,1,全日制,295
北京航空航天大学,是,是,是,不是,生物与医学工程学院,生物医学工程,15,全日制,295
北京航空航天大学,是,是,是,不是,计算机学院,软件工程,18,全日制,295
北京航空航天大学,是,是,是,不是,计算机学院,软件工程,1,全日制,295
北京航空航天大学,是,是,是,不是,软件学院,软件工程,14,全日制,295
北京航空航天大学,是,是,是,不是,软件学院,软件工程,1,全日制,295
北京航空航天大学,是,是,是,不是,可靠性与系统工程学院,安全科学与工程,13,全日制,295
北京航空航天大学,是,是,是,不是,网络空间安全学院,网络空间安全,11,全日制,295
北京航空航天大学,是,是,是,不是,网络空间安全学院,网络空间安全,1,全日制,295
北京航空航天大学,是,是,是,不是,电子信息工程学院,电子信息,47,全日制,295
北京航空航天大学,是,是,是,不是,电子信息工程学院,电子信息,18,非全日制,295
北京航空航天大学,是,是,是,不是,可靠性与系统工程学院,电子信息,15,全日制,295
