职位ID,职位名称,公司,城市,级别,招聘人数,薪资下限(K),薪资上限(K),经验年限,发布日期,是否急招,备注
JOB0053,产品经理,顺丰,成都,P4,11,18,29,3-5年,2026-05-12,是,应届生
JOB0054,前端工程师,蚂蚁金服,杭州,P9,9,11,26,1-3年,2026-06-11,是,外包
JOB0055,运维工程师,华为,苏州,P5,9,12,27,5-10年,2026-07-25,是,急招
JOB0056,项目经理,华为,成都,P8,15,10,29,1年以下,2026-05-02,是,外包
JOB0057,数据分析师,蚂蚁金服,苏州,P7,8,34,50,1-3年,2026-04-01,是,应届生
JOB0058,后端工程师,网易,成都,P8,9,30,43,1-3年,2026-04-27,是,长期
JOB0059,测试工程师,华为,武汉,P9,4,12,21,3-5年,2026-05-17,否,社招
JOB0060,架构师,阿里巴巴,苏州,P7,13,26,36,3-5年,2026-07-18,是,急招
JOB0061,项目经理,滴滴,北京,P7,12,12,26,5-10年,2026-07-25,否,社招
JOB0062,前端工程师,京东物流,西安,P5,7,12,18,3-5年,2026-05-17,是,外包
JOB0063,算法工程师,拼多多,深圳,P4,10,19,42,10年以上,2026-05-30,是,应届生
JOB0064,后端工程师,阿里巴巴,成都,P8,5,9,20,1-3年,2026-06-04,是,社招
JOB0065,运维工程师,快手,苏州,P4,10,31,47,1-3年,2026-05-30,是,外包
JOB0066,测试工程师,字节跳动,武汉,P4,5,13,36,5-10年,2026-06-17,否,长期
JOB0067,数据分析师,阿里巴巴,深圳,P4,5,15,21,5-10年,2026-06-04,否,社招
JOB0068,项目经理,快手,成都,P7,11,15,38,1-3年,2026-05-16,否,急招
JOB0069,运维工程师,蚂蚁金服,上海,P8,11,12,31,5-10年,2026-05-14,是,实习
JOB0070,运维工程师,快手,武汉,P4,9,8,15,1-3年,2026-04-19,是,应届生
JOB0071,产品经理,京东物流,武汉,P6,3,24,42,10年以上,2026-06-01,否,急招
JOB0072,前端工程师,百度,西安,P5,14,27,49,3-5年,2026-05-12,是,外包
JOB0073,测试工程师,腾讯,杭州,P7,5,31,45,1年以下,2026-04-22,否,急招
JOB0074,UI设计师,网易,广州,P7,1,30,37,3-5年,2026-07-23,是,外包
JOB0075,架构师,百度,苏州,P6,1,25,30,1年以下,2026-07-17,是,实习
JOB0076,算法工程师,阿里巴巴,杭州,P6,11,28,38,10年以上,2026-04-24,是,外包
JOB0077,前端工程师,网易,南京,P8,8,24,34,1-3年,2026-04-23,否,应届生
JOB0078,算法工程师,阿里巴巴,武汉,P8,15,33,43,1-3年,2026-06-07,否,急招
JOB0079,测试工程师,字节跳动,广州,P5,15,14,22,10年以上,2026-07-04,是,长期
JOB0080,测试工程师,腾讯,成都,P5,5,30,42,1年以下,2026-04-23,是,外包
