订单ID,商品名称,品类,品牌,渠道,地区,数量,单价,折扣率,销售额,订单日期,客户等级
ORD00061,座椅套,汽车用品,美的,天猫,东北,19,317.52,0.91,5489.92,2026-05-03,普通
ORD00062,牛奶,食品饮料,阿迪达斯,天猫,华东,5,491.44,0.53,1302.32,2026-07-08,银卡
ORD00063,跑步机,运动户外,三只松鼠,线下门店,华南,11,9755.63,0.83,89068.9,2026-05-31,VIP
ORD00064,巧克力,食品饮料,欧莱雅,抖音,西北,10,4566.86,0.6,27401.16,2026-05-18,钻石
ORD00065,轮胎,汽车用品,欧莱雅,抖音,华东,6,2737.88,0.85,13963.19,2026-06-01,VIP
ORD00066,空调,家用电器,小米,线下门店,华东,4,7845.95,0.51,16005.74,2026-05-07,钻石
ORD00067,口红,美妆个护,阿迪达斯,小红书,华北,13,6911.57,0.7,62895.29,2026-06-23,金卡
ORD00068,漫画,图书文娱,华为,小红书,华北,15,9861.35,0.69,102064.97,2026-07-10,普通
ORD00069,iPhone 15,手机数码,小米,小红书,西北,14,2445.94,0.62,21230.76,2026-07-02,钻石
ORD00070,床垫,家居家装,阿迪达斯,京东,华中,8,279.34,0.78,1743.08,2026-06-11,VIP
ORD00071,口红,美妆个护,小米,拼多多,华东,15,4758.99,0.96,68529.46,2026-06-21,钻石
ORD00072,跑步机,运动户外,耐克,抖音,华北,5,8890.74,0.55,24449.53,2026-05-12,金卡
ORD00073,台灯,家居家装,华为,拼多多,华中,13,2407.55,0.76,23786.59,2026-05-17,银卡
ORD00074,口红,美妆个护,阿迪达斯,抖音,华南,19,8283.79,0.96,151096.33,2026-07-03,金卡
ORD00075,机油,汽车用品,海尔,天猫,华南,13,1418.46,0.67,12354.79,2026-05-28,普通
ORD00076,羽绒服,服装鞋帽,阿迪达斯,抖音,西北,4,7727.63,0.74,22873.78,2026-05-17,钻石
ORD00077,玩具,母婴用品,飞利浦,天猫,华东,11,7546.52,0.66,54787.74,2026-04-12,钻石
ORD00078,帐篷,运动户外,Apple,抖音,西北,3,1247.32,0.85,3180.67,2026-07-27,VIP
ORD00079,玩具,母婴用品,美的,小红书,西北,18,6559.65,0.5,59036.85,2026-06-10,VIP
ORD00080,连衣裙,服装鞋帽,欧莱雅,天猫,东北,9,6855.94,0.86,53064.98,2026-05-11,VIP
ORD00081,车载冰箱,汽车用品,小米,京东,华南,18,9121.95,0.89,146133.64,2026-04-24,普通
ORD00082,纸尿裤,母婴用品,Apple,小红书,西南,14,2656.97,0.77,28642.14,2026-05-15,VIP
ORD00083,咖啡,食品饮料,飞利浦,小红书,东北,8,403.84,0.91,2939.96,2026-06-13,普通
ORD00084,OPPO Find X7,手机数码,阿迪达斯,京东,西北,19,8194.71,0.97,151028.51,2026-03-04,钻石
ORD00085,冰箱,家用电器,欧莱雅,小红书,东北,7,9883.92,0.67,46355.58,2026-03-13,普通
ORD00086,文具,图书文娱,美的,拼多多,华中,16,9547.85,0.99,151237.94,2026-03-11,VIP
ORD00087,帐篷,运动户外,飞利浦,抖音,东北,10,5514.63,0.57,31433.39,2026-05-24,金卡
ORD00088,T恤,服装鞋帽,耐克,京东,华中,9,7037.15,0.68,43067.36,2026-02-23,钻石
ORD00089,牛仔裤,服装鞋帽,海尔,拼多多,华南,1,4222.5,0.61,2575.72,2026-06-23,钻石
ORD00090,餐具,家居家装,海尔,抖音,华中,2,2013.29,0.5,2013.29,2026-04-01,普通
ORD00091,车载冰箱,汽车用品,Apple,抖音,华中,16,5618.58,0.54,48544.53,2026-03-17,银卡
ORD00092,牛奶,食品饮料,美的,抖音,华中,14,4170.43,0.67,39118.63,2026-03-25,VIP
ORD00093,帐篷,运动户外,Apple,京东,华南,19,1403.92,0.84,22406.56,2026-06-12,金卡
ORD00094,纸尿裤,母婴用品,Apple,线下门店,华中,18,7940.83,0.57,81472.92,2026-02-24,银卡
ORD00095,羽绒服,服装鞋帽,阿迪达斯,天猫,华中,2,792.67,0.55,871.94,2026-02-15,VIP
ORD00096,羽毛球拍,运动户外,欧莱雅,拼多多,华中,8,2555.88,0.83,16971.04,2026-06-28,金卡
ORD00097,运动鞋,服装鞋帽,小米,拼多多,东北,20,6749.13,0.94,126883.64,2026-05-19,银卡
ORD00098,洗面奶,美妆个护,小米,小红书,东北,20,9917.6,0.66,130912.32,2026-05-07,金卡
ORD00099,面霜,美妆个护,飞利浦,线下门店,东北,16,9158.17,0.93,136273.57,2026-06-18,金卡
ORD00100,咖啡,食品饮料,华为,抖音,华北,19,6423.21,0.93,113498.12,2026-03-19,普通
ORD00101,窗帘,家居家装,欧莱雅,抖音,西南,14,9555.54,0.79,105684.27,2026-07-21,普通
ORD00102,咖啡,食品饮料,三只松鼠,京东,华北,19,3553.63,0.68,45912.9,2026-07-21,银卡
ORD00103,奶瓶,母婴用品,海尔,京东,东北,4,6898.16,0.96,26488.93,2026-06-01,银卡
ORD00104,瑜伽垫,运动户外,海尔,线下门店,华南,10,7708.22,0.53,40853.57,2026-05-14,钻石
ORD00105,微波炉,家用电器,三只松鼠,小红书,西北,16,1323.74,0.89,18850.06,2026-04-17,VIP
ORD00106,连衣裙,服装鞋帽,海尔,线下门店,华东,12,5908.88,0.94,66652.17,2026-04-15,VIP
ORD00107,粉底液,美妆个护,三只松鼠,京东,华北,7,2824.0,0.77,15221.36,2026-07-19,银卡
ORD00108,微波炉,家用电器,飞利浦,京东,华东,20,9736.96,0.59,114896.13,2026-03-03,金卡
ORD00109,空调,家用电器,小米,天猫,华北,16,3866.13,0.89,55053.69,2026-03-03,普通
ORD00110,教辅,图书文娱,欧莱雅,抖音,华南,3,3919.16,0.55,6466.61,2026-04-01,VIP
ORD00111,机油,汽车用品,耐克,京东,东北,4,5351.62,0.57,12201.69,2026-06-27,金卡
ORD00112,帐篷,运动户外,飞利浦,天猫,东北,8,8995.17,0.85,61167.16,2026-07-27,普通
ORD00113,冰箱,家用电器,阿迪达斯,线下门店,华东,17,301.67,0.94,4820.69,2026-04-25,普通
ORD00114,T恤,服装鞋帽,美的,拼多多,华东,16,1674.86,0.82,21974.16,2026-06-18,VIP
ORD00115,洗面奶,美妆个护,海尔,拼多多,华南,13,7095.14,0.66,60876.3,2026-07-12,VIP
ORD00116,洗衣机,家用电器,华为,天猫,西南,14,55.32,0.97,751.25,2026-04-07,银卡
ORD00117,眼霜,美妆个护,耐克,天猫,华北,5,7491.34,0.98,36707.57,2026-07-20,普通
ORD00118,口红,美妆个护,小米,小红书,华中,20,420.59,0.84,7065.91,2026-03-12,银卡
ORD00119,漫画,图书文娱,耐克,小红书,华北,19,6393.15,0.64,77740.7,2026-06-03,金卡
ORD00120,T恤,服装鞋帽,美的,拼多多,西南,1,2162.19,0.91,1967.59,2026-06-02,普通
